account_id,customer_id,account_type,branch_code,open_date,balance,status
ACC000011,CUST00001,CURRENT,BR527,2018-08-11,817798.16,BLOCKED
ACC000012,CUST00001,CURRENT,BR344,2018-09-17,599706.18,BLOCKED
ACC000013,CUST00001,SAVINGS,BR327,2018-12-22,531063.37,DORMANT
ACC000021,CUST00002,SAVINGS,BR291,2022-09-22,178332.86,BLOCKED
ACC000022,CUST00002,SAVINGS,BR118,2025-06-20,795388.2,BLOCKED
ACC000023,CUST00002,SALARY,BR969,2018-04-01,52099.4,BLOCKED
ACC000031,CUST00003,SAVINGS,BR507,2020-02-16,165144.49,BLOCKED
ACC000032,CUST00003,SAVINGS,BR641,2018-05-18,90183.74,ACTIVE
ACC000033,CUST00003,SAVINGS,BR696,2020-06-26,5060.92,ACTIVE
ACC000041,CUST00004,CURRENT,BR947,2026-02-02,436482.37,ACTIVE
ACC000042,CUST00004,CURRENT,BR972,2018-10-22,192938.43,BLOCKED
ACC000043,CUST00004,SALARY,BR990,2021-05-11,695249.52,ACTIVE
ACC000051,CUST00005,SAVINGS,BR717,2025-04-16,588048.71,ACTIVE
ACC000052,CUST00005,SAVINGS,BR141,2019-08-10,947219.57,DORMANT
ACC000061,CUST00006,SAVINGS,BR706,2021-02-02,914939.8,BLOCKED
ACC000062,CUST00006,SALARY,BR976,2024-11-07,827365.79,ACTIVE
ACC000071,CUST00007,SAVINGS,BR462,2025-12-29,624714.76,BLOCKED
ACC000072,CUST00007,SAVINGS,BR907,2020-05-14,494596.87,ACTIVE
ACC000081,CUST00008,CURRENT,BR898,2025-09-08,639067.66,BLOCKED
ACC000082,CUST00008,CURRENT,BR955,2023-07-22,551055.99,ACTIVE
ACC000083,CUST00008,SAVINGS,BR837,2021-03-01,82906.53,ACTIVE
ACC000091,CUST00009,SAVINGS,BR770,2025-08-04,55045.51,BLOCKED
ACC000092,CUST00009,CURRENT,BR793,2025-06-17,443369.66,BLOCKED
ACC000093,CUST00009,SAVINGS,BR354,2023-09-16,986586.8,BLOCKED
ACC000101,CUST00010,SAVINGS,BR279,2019-11-06,923205.36,DORMANT
ACC000102,CUST00010,SAVINGS,BR984,2018-08-31,647532.42,BLOCKED
ACC000111,CUST00011,SAVINGS,BR501,2026-04-05,587156.35,BLOCKED
ACC000112,CUST00011,CURRENT,BR907,2025-12-30,155667.08,BLOCKED
ACC000113,CUST00011,CURRENT,BR504,2023-02-13,24199.06,ACTIVE
ACC000121,CUST00012,SAVINGS,BR385,2018-08-21,383092.96,DORMANT
ACC000122,CUST00012,SALARY,BR797,2020-09-02,945607.76,BLOCKED
ACC000123,CUST00012,SAVINGS,BR374,2020-04-26,506690.32,BLOCKED
ACC000131,CUST00013,CURRENT,BR213,2023-08-02,35301.29,ACTIVE
ACC000132,CUST00013,SAVINGS,BR934,2023-08-13,277778.57,DORMANT
ACC000141,CUST00014,CURRENT,BR216,2025-03-19,780615.31,BLOCKED
ACC000142,CUST00014,SALARY,BR545,2025-01-02,665560.89,BLOCKED
ACC000151,CUST00015,CURRENT,BR567,2022-06-08,383873.87,BLOCKED
ACC000152,CUST00015,SALARY,BR670,2022-02-02,280242.34,DORMANT
ACC000153,CUST00015,SALARY,BR117,2023-09-17,290983.47,DORMANT
ACC000161,CUST00016,SAVINGS,BR526,2019-12-14,399534.79,DORMANT
ACC000162,CUST00016,CURRENT,BR729,2022-01-14,121251.56,DORMANT
ACC000163,CUST00016,CURRENT,BR157,2022-02-16,72324.82,ACTIVE
ACC000171,CUST00017,CURRENT,BR871,2023-05-09,196522.54,ACTIVE
