transaction_id,account_id,transaction_timestamp,transaction_type,amount,merchant_name,payment_channel,device_id,transaction_status,fraud_flag
TXN000011,ACC000011,2026-04-19 10:50:26.854514,CASH_DEPOSIT,42680.64,Amazon,WEB,DEV94813,SUCCESS,YES
TXN000012,ACC000011,2026-01-07 22:06:26.854537,IMPS,6397.08,Zomato,MOBILE,DEV67024,FAILED,NO
TXN000013,ACC000011,2025-09-18 09:32:26.854548,POS,46445.83,Swiggy,MOBILE,DEV37045,PENDING,YES
TXN000014,ACC000011,2025-09-01 05:38:26.854555,NEFT,27618.59,Flipkart,MOBILE,DEV18745,SUCCESS,NO
TXN000015,ACC000011,2026-04-29 21:36:26.854561,ATM,13736.72,Myntra,ATM,DEV39951,PENDING,NO
TXN000016,ACC000011,2025-06-05 10:53:26.854566,NEFT,20013.58,Zomato,MOBILE,DEV51938,FAILED,NO
TXN000017,ACC000011,2025-07-29 21:30:26.854571,IMPS,20941.76,Amazon,MOBILE,DEV47762,FAILED,NO
TXN000018,ACC000011,2025-09-02 11:03:26.854577,UPI,41508.16,IRCTC,BRANCH,DEV34000,FAILED,YES
TXN000019,ACC000011,2025-09-24 02:56:26.854582,POS,1764.27,Uber,MOBILE,DEV20431,PENDING,NO
TXN0000110,ACC000011,2026-03-26 01:36:26.854588,CASH_DEPOSIT,37687.14,Swiggy,ATM,DEV99286,SUCCESS,NO
TXN0000111,ACC000011,2025-12-18 11:28:26.854593,UPI,16390.97,Reliance Mart,MOBILE,DEV27042,FAILED,NO
TXN0000112,ACC000011,2025-07-13 20:26:26.854598,CASH_DEPOSIT,4187.62,Uber,ATM,DEV54508,SUCCESS,NO
TXN0000113,ACC000011,2025-08-27 09:56:26.854604,ATM,30974.04,Reliance Mart,BRANCH,DEV34210,PENDING,NO
TXN0000114,ACC000011,2026-04-05 12:28:26.854609,UPI,5721.55,Reliance Mart,WEB,DEV40149,PENDING,NO
TXN0000115,ACC000011,2025-12-27 20:17:26.854614,CASH_DEPOSIT,47304.73,Uber,MOBILE,DEV66320,PENDING,YES
TXN0000116,ACC000011,2025-10-19 21:46:26.854620,CASH_DEPOSIT,39832.45,Flipkart,MOBILE,DEV74151,FAILED,NO
TXN0000117,ACC000011,2025-09-10 00:13:26.854625,NEFT,27008.39,Uber,WEB,DEV21136,FAILED,NO
TXN000021,ACC000012,2025-07-01 03:09:26.854683,ATM,15042.94,Uber,ATM,DEV36295,FAILED,NO
TXN000022,ACC000012,2025-11-10 17:15:26.854689,POS,25705.64,Reliance Mart,WEB,DEV13675,SUCCESS,NO
TXN000023,ACC000012,2025-07-27 09:15:26.854694,ATM,38645.84,Zomato,BRANCH,DEV72289,SUCCESS,NO
TXN000024,ACC000012,2025-07-24 23:11:26.854699,ATM,27718.57,IRCTC,BRANCH,DEV71424,FAILED,NO
TXN000025,ACC000012,2026-03-08 22:44:26.854704,POS,38309.85,Swiggy,MOBILE,DEV84712,FAILED,NO
TXN000026,ACC000012,2026-03-21 03:25:26.854709,IMPS,29155.64,Myntra,MOBILE,DEV29845,PENDING,NO
TXN000027,ACC000012,2026-01-11 21:10:26.854715,ATM,5079.24,Uber,MOBILE,DEV95622,PENDING,NO
TXN000028,ACC000012,2025-08-11 07:30:26.854720,CASH_DEPOSIT,20698.9,Swiggy,MOBILE,DEV15900,FAILED,NO
TXN000029,ACC000012,2026-03-08 18:37:26.854725,UPI,21439.79,Swiggy,BRANCH,DEV38440,PENDING,NO
TXN0000210,ACC000012,2026-02-26 10:20:26.854731,ATM,34629.25,Myntra,BRANCH,DEV89615,SUCCESS,NO
TXN0000211,ACC000012,2025-11-24 17:57:26.854736,UPI,10029.49,Uber,WEB,DEV49407,FAILED,NO
TXN0000212,ACC000012,2025-09-17 01:09:26.854741,CASH_DEPOSIT,23389.96,Uber,ATM,DEV41246,FAILED,NO
TXN0000213,ACC000012,2025-08-18 05:11:26.854746,ATM,3256.33,Reliance Mart,WEB,DEV23164,FAILED,NO
TXN0000214,ACC000012,2026-03-06 04:29:26.854751,UPI,27331.79,Swiggy,BRANCH,DEV78580,FAILED,NO
TXN0000215,ACC000012,2025-08-24 21:54:26.854756,NEFT,6354.94,IRCTC,BRANCH,DEV85069,SUCCESS,NO
TXN0000216,ACC000012,2026-04-01 08:21:26.854760,IMPS,12602.68,Zomato,MOBILE,DEV87159,PENDING,NO
TXN0000217,ACC000012,2025-12-25 01:33:26.854765,UPI,48707.59,Amazon,BRANCH,DEV94220,SUCCESS,YES
TXN0000218,ACC000012,2025-10-22 12:41:26.854771,NEFT,19535.67,Reliance Mart,WEB,DEV45680,FAILED,NO
TXN0000219,ACC000012,2026-02-20 05:01:26.854776,IMPS,9902.98,Amazon,BRANCH,DEV17286,PENDING,NO
TXN0000220,ACC000012,2025-12-22 09:22:26.854781,NEFT,15081.44,Zomato,WEB,DEV40910,FAILED,NO
TXN0000221,ACC000012,2025-08-13 20:36:26.854787,POS,15361.22,Swiggy,ATM,DEV43183,FAILED,NO
